id,user_id,content,post_date,post_type,visible,recipient_id,viewed
1,232,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2024-02-20 07:46:11,Message,TRUE,390,TRUE
2,864,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2024-02-23 22:28:56,Message,TRUE,904,FALSE
3,784,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",2024-02-23 13:16:58,Message,TRUE,255,TRUE
4,524,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2024-02-21 04:40:55,Message,TRUE,587,TRUE
5,754,Etiam faucibus cursus urna.,2024-02-21 22:32:12,Message,TRUE,723,TRUE
6,908,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2024-02-21 05:15:59,Message,TRUE,453,TRUE
7,74,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2024-02-20 19:12:08,Message,TRUE,477,FALSE
8,75,Pellentesque viverra pede ac diam.,2024-02-23 00:02:06,Message,TRUE,523,FALSE
9,613,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2024-02-20 14:52:40,Message,TRUE,770,FALSE
10,131,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2024-02-23 15:30:06,Message,TRUE,720,TRUE
11,169,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2024-02-22 08:39:24,Message,TRUE,550,TRUE
12,249,Vivamus vel nulla eget eros elementum pellentesque.,2024-02-23 08:35:01,Message,TRUE,552,FALSE
13,224,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,2024-02-20 04:26:14,Message,TRUE,43,FALSE
14,309,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2024-02-22 16:35:15,Message,TRUE,260,FALSE
15,243,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",2024-02-21 03:20:41,Message,TRUE,686,TRUE
16,149,Proin at turpis a pede posuere nonummy.,2024-02-21 20:27:49,Message,TRUE,941,TRUE
17,153,Etiam justo. Etiam pretium iaculis justo.,2024-02-23 01:13:16,Message,TRUE,845,TRUE
18,160,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,2024-02-23 06:21:04,Message,TRUE,412,TRUE
19,596,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2024-02-21 13:13:36,Message,TRUE,344,TRUE
20,683,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",2024-02-20 14:42:04,Message,TRUE,79,TRUE
21,451,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",2024-02-22 13:05:50,Message,TRUE,185,FALSE
22,480,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2024-02-21 10:18:30,Message,TRUE,752,TRUE
23,10,Aenean sit amet justo. Morbi ut odio.,2024-02-22 11:11:44,Message,TRUE,956,FALSE
24,72,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,2024-02-22 23:13:48,Message,TRUE,799,TRUE
25,843,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,2024-02-23 22:56:18,Message,TRUE,745,FALSE
26,373,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2024-02-22 15:29:04,Message,TRUE,763,TRUE
27,207,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",2024-02-21 21:14:41,Message,TRUE,324,TRUE
28,872,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2024-02-23 07:49:36,Message,TRUE,964,TRUE
29,209,Aliquam erat volutpat. In congue.,2024-02-20 03:12:30,Message,TRUE,294,TRUE
